Number of classes: 3
Elapsed time: 0:05:17.582861
Mini-batch size: 400
Number of epochs: 16
Learning rate: 0.01
Subset: small
------------------------------------
Testing accuracy: 0.488095223903656
Training accuracy: 0.46904316544532776
------------------------------------
cost history,	validation history
9.317262649536133,	0.0
6.03656005859375,	0.3030303120613098
3.432725429534912,	0.0
3.4201560020446777,	0.0
4.3044352531433105,	0.0
3.9308910369873047,	0.0
3.781578302383423,	0.3030303120613098
3.5259385108947754,	0.3636363744735718
2.627627372741699,	0.24242424964904785
2.8664541244506836,	0.0
3.029512882232666,	0.0
2.6761980056762695,	0.0
2.527008295059204,	0.0
2.306889772415161,	0.03030303120613098
2.197551727294922,	0.3030303120613098
2.265909194946289,	0.3030303120613098
2.083113193511963,	0.3636363744735718
1.9823156595230103,	0.3333333432674408
1.8708000183105469,	0.27272728085517883
1.7003275156021118,	0.24242424964904785
1.8341401815414429,	0.1515151560306549
1.5288618803024292,	0.24242424964904785
1.5716314315795898,	0.3333333432674408
1.5134093761444092,	0.3333333432674408
1.2842227220535278,	0.3333333432674408
1.4690901041030884,	0.3333333432674408
1.355927586555481,	0.3030303120613098
1.2872766256332397,	0.3333333432674408
1.2057291269302368,	0.3333333432674408
1.1310374736785889,	0.3030303120613098
1.061826229095459,	0.3636363744735718
1.0019677877426147,	0.42424243688583374
