Number of classes: 2
Elapsed time: 0:10:03.955196
Mini-batch size: 400
Number of epochs: 108
Learning rate: 0.01
Subset: large
------------------------------------
Testing accuracy: 0.5574142932891846
Training accuracy: 0.5556271076202393
------------------------------------
cost history,	validation history
0.7156165838241577,	0.3180592954158783
0.7162923216819763,	0.3076923191547394
0.7059371471405029,	0.33402445912361145
0.712432861328125,	0.3143271803855896
0.7146139740943909,	0.2670536935329437
0.7022088766098022,	0.279079407453537
0.702106773853302,	0.27970144152641296
0.6956659555435181,	0.3114244341850281
0.6979721188545227,	0.31992536783218384
0.7033224701881409,	0.285506933927536
0.6953343152999878,	0.3070702850818634
0.6988002061843872,	0.29773998260498047
0.6977965831756592,	0.2890317142009735
0.6969700455665588,	0.2929711937904358
0.6925492882728577,	0.3240721523761749
0.6911100149154663,	0.3605639636516571
0.6956443190574646,	0.3609786331653595
0.6975100636482239,	0.3470868766307831
0.6985631585121155,	0.3186813294887543
0.6973307728767395,	0.2606261670589447
0.6952798962593079,	0.25482064485549927
0.6943185329437256,	0.2674683928489685
0.6948660016059875,	0.27327388525009155
0.6925390362739563,	0.29483723640441895
0.6945152878761292,	0.26290690898895264
0.6936789155006409,	0.2857142984867096
0.6957255601882935,	0.25253990292549133
0.6952784657478333,	0.19883888959884644
0.6935078501701355,	0.24839311838150024
0.6959110498428345,	0.16898195445537567
0.6956256628036499,	0.17312875390052795
0.6949633955955505,	0.16649387776851654
0.6939015984535217,	0.15218743681907654
0.695548415184021,	0.14472320675849915
0.6942811608314514,	0.16898195445537567
0.6939070224761963,	0.12938004732131958
0.694774329662323,	0.16628654301166534
0.693799614906311,	0.16670122742652893
0.6942110657691956,	0.19137465953826904
0.6949179172515869,	0.17603151500225067
0.6940919756889343,	0.15446817874908447
0.6952493190765381,	0.12295252084732056
0.6940664052963257,	0.13020941615104675
0.6944737434387207,	0.12357454001903534
0.6939425468444824,	0.14741861820220947
0.6943557858467102,	0.1324901580810547
0.6947474479675293,	0.13269749283790588
0.6949564218521118,	0.12689197063446045
0.6939280033111572,	0.13622227311134338
0.693976879119873,	0.16587185859680176
0.6932350397109985,	0.21584075689315796
0.6952787637710571,	0.1611030548810959
0.6928790211677551,	0.20111963152885437
0.6939247250556946,	0.17312875390052795
0.6936705112457275,	0.17769023776054382
0.6942218542098999,	0.16524983942508698
0.6948192119598389,	0.1747874766588211
0.6942177414894104,	0.16711589694023132
0.6934068202972412,	0.20132698118686676
0.6948002576828003,	0.1505287140607834
0.6934338212013245,	0.16898195445537567
0.6946754455566406,	0.1505287140607834
0.6939054727554321,	0.1426497995853424
0.6925064325332642,	0.19800953567028046
0.6939814686775208,	0.21584075689315796
0.6936758160591125,	0.2427949458360672
0.6940297484397888,	0.24714908003807068
0.6931639313697815,	0.249844491481781
0.6929486989974976,	0.2852995991706848
0.6970958113670349,	0.1994609236717224
0.6933515071868896,	0.17789757251739502
0.694408118724823,	0.14430852234363556
0.694223165512085,	0.13995438814163208
0.6942511200904846,	0.1426497995853424
0.6944196820259094,	0.14036905765533447
0.694572389125824,	0.14119842648506165
0.6935501098632812,	0.1432718187570572
0.6936274766921997,	0.15799294412136078
0.693809986114502,	0.18162968754768372
0.6946099996566772,	0.1708480268716812
0.6924189925193787,	0.18391042947769165
0.693369448184967,	0.19220402836799622
0.6936361789703369,	0.17250673472881317
0.6927444338798523,	0.21915820240974426
0.6940585970878601,	0.2139746993780136
0.6932745575904846,	0.18722786009311676
0.6933111548423767,	0.2038150578737259
0.6945808529853821,	0.15467551350593567
0.6932437419891357,	0.17706821858882904
0.6938814520835876,	0.1470039337873459
0.6933062672615051,	0.16234709322452545
0.6934077739715576,	0.19158200919628143
0.6931383013725281,	0.19158200919628143
0.6977120041847229,	0.15550486743450165
0.6923387050628662,	0.21376736462116241
0.6943320631980896,	0.16566452383995056
0.6946136355400085,	0.1679452657699585
0.6946650743484497,	0.1501140296459198
0.6936280131340027,	0.14804063737392426
0.6930530667304993,	0.16213974356651306
0.69354248046875,	0.15488284826278687
0.6948588490486145,	0.15633423626422882
0.6939064264297485,	0.1467965990304947
0.6922287940979004,	0.15612688660621643
0.6940838694572449,	0.16131038963794708
0.6930190324783325,	0.15944433212280273
0.6934311389923096,	0.15778560936450958
0.6931124925613403,	0.15218743681907654
0.6924039721488953,	0.15198010206222534
0.6937479972839355,	0.15073606371879578
0.6942985653877258,	0.1608957052230835
0.6932300329208374,	0.15902964770793915
0.6936047077178955,	0.18100766837596893
0.6947144269943237,	0.1677379161119461
0.6939094662666321,	0.15550486743450165
0.6931162476539612,	0.18121501803398132
0.6942257881164551,	0.18660584092140198
0.6938855051994324,	0.19033797085285187
0.6949228048324585,	0.185776486992836
0.6951267123222351,	0.15799294412136078
0.6937847137451172,	0.15550486743450165
0.6937097311019897,	0.157370924949646
0.6940428018569946,	0.1575782746076584
0.692715585231781,	0.18847189843654633
0.6915820837020874,	0.1969728320837021
0.6927404999732971,	0.21542608737945557
0.6922471523284912,	0.2174994796514511
0.6924482583999634,	0.2326352894306183
0.6940267086029053,	0.21563342213630676
0.6940188407897949,	0.22060957551002502
0.6943150162696838,	0.20568111538887024
0.6964366436004639,	0.15550486743450165
0.6936184167861938,	0.15591955184936523
0.6939170956611633,	0.15550486743450165
0.6930800080299377,	0.1752021610736847
0.692922055721283,	0.21604810655117035
0.6928024291992188,	0.23802612721920013
0.6943606734275818,	0.17623884975910187
0.6943371295928955,	0.16690856218338013
0.6941026449203491,	0.16504250466823578
0.6939981579780579,	0.17416545748710632
0.6926580667495728,	0.1967654973268509
0.694582462310791,	0.16234709322452545
0.6929673552513123,	0.1640058010816574
0.6930642127990723,	0.1718847155570984
0.6927317976951599,	0.1822517067193985
0.6932007074356079,	0.1646278202533722
0.6940696835517883,	0.16649387776851654
0.6925961971282959,	0.16151772439479828
0.6950686573982239,	0.16276176273822784
0.6928164958953857,	0.17686086893081665
0.6927905082702637,	0.2145967185497284
0.6941235065460205,	0.20236366987228394
0.6923875212669373,	0.22268298268318176
0.6943064332008362,	0.17769023776054382
0.693247377872467,	0.16711589694023132
0.6914380788803101,	0.171470046043396
0.6926156878471375,	0.17976363003253937
0.6917665004730225,	0.1994609236717224
0.6935116052627563,	0.20858386158943176
0.6932399272918701,	0.2145967185497284
0.6939643025398254,	0.17914161086082458
0.6938516497612,	0.16711589694023132
0.6920738816261292,	0.16711589694023132
0.6930866837501526,	0.17250673472881317
0.6929770112037659,	0.17810490727424622
0.6947634816169739,	0.16898195445537567
0.6926959753036499,	0.19054530560970306
0.6924131512641907,	0.17375077307224274
0.694478452205658,	0.178726926445961
0.6951944231987,	0.18473978340625763
0.6921939253807068,	0.21190130710601807
0.6939285397529602,	0.23844081163406372
0.6933236718177795,	0.24735641479492188
0.6936798095703125,	0.24092888832092285
0.6921083331108093,	0.26601698994636536
0.6914234757423401,	0.292556494474411
0.6935582160949707,	0.26290690898895264
0.6932110786437988,	0.2579307556152344
0.6931598782539368,	0.2394775003194809
0.6923207640647888,	0.21356002986431122
0.6916869878768921,	0.2751399576663971
0.694985568523407,	0.2179141640663147
0.6924068331718445,	0.214182049036026
0.6925082206726074,	0.17582418024539948
0.6929689049720764,	0.17665353417396545
0.6938116550445557,	0.17561683058738708
0.6929842233657837,	0.1824590563774109
0.6928303241729736,	0.21978022158145905
0.6928691267967224,	0.21957288682460785
0.6930158138275146,	0.25585734844207764
0.693652331829071,	0.23657473921775818
0.6950188279151917,	0.19158200919628143
0.6933174133300781,	0.1853618025779724
0.6913769245147705,	0.18100766837596893
0.6921921372413635,	0.18411776423454285
0.6924858093261719,	0.18432511389255524
0.6929500102996826,	0.17810490727424622
0.6935627460479736,	0.1961434781551361
0.6932631134986877,	0.18515446782112122
0.6914209127426147,	0.18702052533626556
0.6926611065864563,	0.18826456367969513
0.6914613246917725,	0.18308107554912567
0.6922824382781982,	0.18722786009311676
0.6941117644309998,	0.1818370372056961
0.6933807134628296,	0.1853618025779724
0.6925525069236755,	0.20132698118686676
0.6909506916999817,	0.20609578490257263
0.6920387148857117,	0.19013062119483948
0.6925906538963318,	0.1895086020231247
0.6933772563934326,	0.1853618025779724
0.6926428079605103,	0.18992328643798828
0.6927334666252136,	0.2034003734588623
0.69339919090271,	0.24072153866291046
0.6926677227020264,	0.2577234208583832
0.6947026252746582,	0.20277835428714752
0.6925175189971924,	0.23097656667232513
0.6925199627876282,	0.24155090749263763
0.6922417283058167,	0.24424631893634796
0.6924293637275696,	0.23823346197605133
0.6927613615989685,	0.2577234208583832
0.6927574276924133,	0.2255857288837433
0.6943705677986145,	0.19800953567028046
0.6941844820976257,	0.1967654973268509
0.693943202495575,	0.19054530560970306
0.6930486559867859,	0.20236366987228394
0.6935603618621826,	0.20651046931743622
0.6909735798835754,	0.23512336611747742
0.6922438144683838,	0.24113622307777405
0.6919133067131042,	0.22641509771347046
0.6928321719169617,	0.24797843396663666
0.6920764446258545,	0.272029846906662
0.6938046216964722,	0.25212523341178894
0.692722499370575,	0.24777109920978546
0.6919269561767578,	0.22703711688518524
0.6917409300804138,	0.2463197112083435
0.6934773325920105,	0.22226829826831818
0.6927077770233154,	0.21895086765289307
0.6937301754951477,	0.1969728320837021
0.6912713646888733,	0.20132698118686676
0.6933228969573975,	0.19718018174171448
0.6927990913391113,	0.20111963152885437
0.6935890316963196,	0.21915820240974426
0.6915045976638794,	0.20630313456058502
0.6928974986076355,	0.21874351799488068
0.6919808387756348,	0.21024258434772491
0.693461000919342,	0.20464441180229187
0.6928169131278992,	0.1996682584285736
0.6930526494979858,	0.22413435578346252
0.6933210492134094,	0.20609578490257263
0.6950268745422363,	0.21895086765289307
0.6928818225860596,	0.21957288682460785
0.6927728056907654,	0.22786647081375122
0.6931164264678955,	0.21273066103458405
0.6916348934173584,	0.22019490599632263
0.6904613375663757,	0.2249637097120285
0.6928298473358154,	0.21998755633831024
0.6925550699234009,	0.21293801069259644
0.6908416152000427,	0.20422972738742828
0.6907449960708618,	0.22579307854175568
0.695340096950531,	0.20568111538887024
0.6909983158111572,	0.20464441180229187
0.6915886402130127,	0.20858386158943176
0.6942558884620667,	0.20568111538887024
0.6929656863212585,	0.2075471729040146
0.6932579278945923,	0.20941323041915894
0.6922021508216858,	0.21190130710601807
0.6927421689033508,	0.24569769203662872
0.6915620565414429,	0.29442256689071655
0.6914594173431396,	0.30478954315185547
0.6929971575737,	0.30188679695129395
0.6912291049957275,	0.30582624673843384
0.6907905340194702,	0.30582624673843384
0.691730797290802,	0.3039602041244507
0.691141664981842,	0.30872899293899536
0.6937066912651062,	0.30499687790870667
0.6926443576812744,	0.27970144152641296
0.6916950941085815,	0.2846775949001312
0.6934757828712463,	0.2850922644138336
0.6917607188224792,	0.285506933927536
0.6908340454101562,	0.26912710070610046
0.6933533549308777,	0.21314534544944763
0.6923636794090271,	0.2249637097120285
0.691211998462677,	0.22226829826831818
0.6911990642547607,	0.25212523341178894
0.692430853843689,	0.3078996539115906
0.6925776600837708,	0.31266847252845764
0.6902557611465454,	0.31930333375930786
0.691210925579071,	0.3207547068595886
0.693376898765564,	0.3141198456287384
0.6933967471122742,	0.31308314204216003
0.6920587420463562,	0.3149492144584656
0.6907753944396973,	0.3213767409324646
0.6958969831466675,	0.2890317142009735
0.6924611926078796,	0.25233256816864014
0.6908737421035767,	0.26954177021980286
0.6930520534515381,	0.25212523341178894
0.690952479839325,	0.22579307854175568
0.6899888515472412,	0.22019490599632263
0.6924291849136353,	0.22413435578346252
0.6908720135688782,	0.22765913605690002
0.6928675770759583,	0.2212315946817398
0.6897414922714233,	0.23491603136062622
0.695025622844696,	0.228488489985466
0.6919583082199097,	0.24030686914920807
0.6905253529548645,	0.24466100335121155
0.6915378570556641,	0.23014721274375916
0.6923231482505798,	0.25150319933891296
0.6934961080551147,	0.2392701655626297
0.6922188401222229,	0.2388554811477661
0.6944365501403809,	0.23035454750061035
0.6907832622528076,	0.2388554811477661
0.6912817358970642,	0.26995646953582764
0.6905229091644287,	0.3010574281215668
0.6914746165275574,	0.2969106435775757
0.6898199319839478,	0.31619325280189514
0.6904773712158203,	0.32614555954933167
0.6892764568328857,	0.33008500933647156
0.6878153085708618,	0.3433547616004944
0.6954666376113892,	0.33091437816619873
0.6928666830062866,	0.33381712436676025
0.6917814016342163,	0.33091437816619873
0.6923926472663879,	0.33008500933647156
0.6909348368644714,	0.33008500933647156
0.6952789425849915,	0.3244868218898773
0.692847728729248,	0.31951066851615906
0.6915917992591858,	0.32676756381988525
0.6917142271995544,	0.32718226313591003
0.6899477243423462,	0.3284263014793396
0.6933746933937073,	0.32365748286247253
0.6934733390808105,	0.3070702850818634
0.6911571621894836,	0.3078996539115906
0.6943957805633545,	0.27016380429267883
0.6919784545898438,	0.2712005078792572
0.6930806040763855,	0.24901513755321503
0.6926562786102295,	0.26643168926239014
0.6939359903335571,	0.2430022805929184
0.6899169683456421,	0.23678208887577057
0.6931275129318237,	0.24196557700634003
0.6917460560798645,	0.23761144280433655
0.692891538143158,	0.24155090749263763
0.6906149983406067,	0.24051420390605927
0.6921929717063904,	0.25150319933891296
0.6944117546081543,	0.2432096153497696
0.6914904713630676,	0.24155090749263763
0.6915029287338257,	0.24486833810806274
0.6913301944732666,	0.25958946347236633
0.6946089267730713,	0.2465270608663559
0.6917160153388977,	0.24839311838150024
0.6908133029937744,	0.24901513755321503
0.6929246783256531,	0.2531619369983673
0.6910754442214966,	0.2541986405849457
0.6912642121315002,	0.26912710070610046
0.6921667456626892,	0.26622435450553894
0.6905384063720703,	0.2506738603115082
0.6912134289741516,	0.24569769203662872
0.692610502243042,	0.25108852982521057
0.6898065209388733,	0.25129586458206177
0.691332995891571,	0.25129586458206177
0.6917925477027893,	0.25233256816864014
0.6910831928253174,	0.25212523341178894
0.6922807097434998,	0.25253990292549133
0.6914854645729065,	0.2508811950683594
0.6940591335296631,	0.26871243119239807
0.6916703581809998,	0.29483723640441895
0.6914552450180054,	0.29131245613098145
0.692759096622467,	0.2846775949001312
0.6919605135917664,	0.2890317142009735
0.6933131217956543,	0.25938212871551514
0.6905928254127502,	0.25544267892837524
0.6882022023200989,	0.2672610282897949
0.6917262077331543,	0.28053078055381775
0.6914522051811218,	0.27285921573638916
0.6909906268119812,	0.2682977318763733
0.6921872496604919,	0.25855275988578796
0.6921394467353821,	0.2894464135169983
0.6930773854255676,	0.2753472924232483
0.6910551190376282,	0.314741849899292
0.6953263282775879,	0.25813809037208557
0.691750705242157,	0.25855275988578796
0.690660834312439,	0.25958946347236633
0.689837634563446,	0.2602114975452423
0.6927923560142517,	0.2964959442615509
0.6892231702804565,	0.293178528547287
0.6910592913627625,	0.32614555954933167
0.68990159034729,	0.3290483057498932
0.6912297010421753,	0.32718226313591003
0.691128671169281,	0.3323657512664795
0.6936398148536682,	0.3275969326496124
0.694824755191803,	0.3027161657810211
0.6885668039321899,	0.28778767585754395
0.6930899024009705,	0.29836201667785645
0.6900644898414612,	0.31681525707244873
0.6914445757865906,	0.3317437171936035
0.6935856342315674,	0.31909599900245667
0.6918653845787048,	0.3170225918292999
0.6888702511787415,	0.32738959789276123
0.6922029852867126,	0.3205473721027374
0.6944921016693115,	0.32718226313591003
0.6895027160644531,	0.3222061097621918
0.6900051832199097,	0.3249015212059021
0.6913635730743408,	0.3286336362361908
0.6920007467269897,	0.32324278354644775
0.6926258206367493,	0.321791410446167
0.6907979846000671,	0.321791410446167
0.6919154524803162,	0.32241344451904297
0.6906035542488098,	0.3365125358104706
0.6910098195075989,	0.3284263014793396
0.6916198134422302,	0.32241344451904297
0.6904200911521912,	0.3244868218898773
0.6926745772361755,	0.3222061097621918
0.6909071207046509,	0.32593822479248047
0.6931650042533875,	0.3151565492153168
0.6916563510894775,	0.2892390489578247
0.6906538605690002,	0.30624091625213623
0.6935045719146729,	0.3114244341850281
0.6923825144767761,	0.3039602041244507
0.6911520957946777,	0.2900684177875519
0.6922669410705566,	0.30126476287841797
0.691292405128479,	0.2991913855075836
0.6911749243736267,	0.2863363027572632
0.6906054019927979,	0.28426289558410645
0.689368724822998,	0.285506933927536
0.6912025213241577,	0.2896537482738495
0.6927577257156372,	0.2867509722709656
0.6912567615509033,	0.27970144152641296
0.6929184198379517,	0.29089778661727905
0.6888448596000671,	0.2892390489578247
0.6907650828361511,	0.2823968529701233
0.6922418475151062,	0.29836201667785645
0.6916729807853699,	0.31598588824272156
0.6925595998764038,	0.31225377321243286
0.6911368370056152,	0.2956666052341461
0.6895713210105896,	0.2857142984867096
0.6901378035545349,	0.2958739399909973
0.6916308403015137,	0.2898610830307007
0.6906571388244629,	0.28716567158699036
0.6903494000434875,	0.28716567158699036
0.6897954344749451,	0.29110512137413025
0.6934211850166321,	0.2884097099304199
0.6892898678779602,	0.2892390489578247
0.6917219758033752,	0.29525190591812134
0.6931913495063782,	0.2904830873012543
0.69170743227005,	0.29462990164756775
0.6919481754302979,	0.29462990164756775
0.6888172030448914,	0.3002280592918396
0.6918470859527588,	0.29898402094841003
0.6897695660591125,	0.29815468192100525
0.6903784275054932,	0.30478954315185547
0.6890655755996704,	0.3027161657810211
0.6889278888702393,	0.3039602041244507
0.6903876662254333,	0.2973253130912781
0.6917776465415955,	0.30582624673843384
0.6919966340065002,	0.3074849545955658
0.6926430463790894,	0.31204643845558167
0.6919402480125427,	0.306655615568161
0.6912936568260193,	0.3240721523761749
0.6915928721427917,	0.3139125108718872
0.6924067139625549,	0.32282811403274536
0.6925508379936218,	0.3180592954158783
0.6887924671173096,	0.30831432342529297
0.6905516982078552,	0.3027161657810211
0.6887054443359375,	0.3043748736381531
0.6897335052490234,	0.3037528395652771
0.6931983828544617,	0.30250880122184753
0.688677191734314,	0.30499687790870667
0.6915574669837952,	0.3041675388813019
0.6927669644355774,	0.3114244341850281
0.6912078857421875,	0.3078996539115906
0.6912950277328491,	0.328840970993042
0.6932251453399658,	0.3141198456287384
0.6920068264007568,	0.3114244341850281
0.6901226043701172,	0.30914369225502014
0.6927825808525085,	0.30935102701187134
0.6915695667266846,	0.31266847252845764
0.693014919757843,	0.30541157722473145
0.6903365850448608,	0.3070702850818634
0.6890424489974976,	0.3116317689418793
0.6924272179603577,	0.30955836176872253
0.6916842460632324,	0.3101803958415985
0.6908891201019287,	0.3074849545955658
0.6876495480537415,	0.3110097348690033
0.6917953491210938,	0.3222061097621918
0.6912961006164551,	0.33091437816619873
0.689450204372406,	0.3280116021633148
0.6875205039978027,	0.328218936920166
0.6880241632461548,	0.3205473721027374
0.6936782598495483,	0.32365748286247253
0.6922612190246582,	0.33319512009620667
0.6919683218002319,	0.3475015461444855
0.6907283663749695,	0.3367198705673218
0.6895387768745422,	0.33692723512649536
0.6894637942314148,	0.3390006124973297
0.6890649199485779,	0.3475015461444855
0.6909658312797546,	0.3464648425579071
0.6924349069595337,	0.33423179388046265
0.6920996308326721,	0.3354758322238922
0.6921600103378296,	0.3346464931964874
0.6930975914001465,	0.33340245485305786
0.6910261511802673,	0.3346464931964874
0.6872581243515015,	0.3367198705673218
0.6896007061004639,	0.33443915843963623
0.6885305047035217,	0.3253161907196045
0.6900103092193604,	0.32614555954933167
0.6916452646255493,	0.33319512009620667
0.6911184787750244,	0.33319512009620667
0.6907757520675659,	0.3325730860233307
0.6906389594078064,	0.33091437816619873
0.6931482553482056,	0.3244868218898773
0.6879915595054626,	0.32967033982276917
0.6908324956893921,	0.32967033982276917
0.6900331377983093,	0.3315363824367523
0.6904653906822205,	0.3275969326496124
0.6922744512557983,	0.33008500933647156
0.689425528049469,	0.33070704340934753
0.6921769976615906,	0.33360978960990906
0.6907005310058594,	0.3350611627101898
0.690989077091217,	0.33713456988334656
0.6883852481842041,	0.33008500933647156
0.6888136863708496,	0.33070704340934753
0.6870942711830139,	0.3319510817527771
0.6892046928405762,	0.3367198705673218
0.6907199025154114,	0.33713456988334656
0.6919954419136047,	0.3356831967830658
0.6904310584068298,	0.34065935015678406
0.6898756623268127,	0.34045201539993286
0.6903947591781616,	0.33381712436676025
0.691343367099762,	0.3350611627101898
0.6928287744522095,	0.3416960537433624
0.6903117299079895,	0.3398299813270569
0.6904792189598083,	0.3383786082267761
0.6898068189620972,	0.35164836049079895
0.6914887428283691,	0.3464648425579071
0.6879858374595642,	0.34853824973106384
0.6900926232337952,	0.35247769951820374
0.6894137859344482,	0.34874558448791504
0.6916526556015015,	0.3437694311141968
0.6924099922180176,	0.3392079472541809
0.6901719570159912,	0.34522080421447754
0.6901883482933044,	0.34418413043022156
0.6907121539115906,	0.349367618560791
0.6903297901153564,	0.342940092086792
0.6928671002388,	0.34086668491363525
0.6929271221160889,	0.34107401967048645
0.691324770450592,	0.34459879994392395
0.6925477385520935,	0.3416960537433624
0.6924867033958435,	0.3454281687736511
0.6901605725288391,	0.34459879994392395
0.6893901228904724,	0.34439146518707275
