Number of classes: 2
Elapsed time: 0:10:00.227671
One batch.
Number of epochs: 882
Learning rate: 0.01
Subset: large
------------------------------------
Testing accuracy: 0.4836844205856323
Training accuracy: 0.47635915875434875
------------------------------------
cost history,	validation history
0.7510672807693481,	0.0267468374222517
0.7413864731788635,	0.033796392381191254
0.7334902882575989,	0.04146796464920044
0.7270771861076355,	0.04831017926335335
0.7218823432922363,	0.05681111291050911
0.7176865935325623,	0.06240928918123245
0.7143030762672424,	0.06925150007009506
0.7115768790245056,	0.07961849123239517
0.7093830704689026,	0.09019282460212708
0.7076160311698914,	0.10678001493215561
0.7061941027641296,	0.12606261670589447
0.7050434350967407,	0.13642960786819458
0.7041183710098267,	0.14762595295906067
0.7033640146255493,	0.1540534943342209
0.7027520537376404,	0.1604810357093811
0.702253520488739,	0.1604810357093811
0.7018436789512634,	0.16545718908309937
0.7015024423599243,	0.16939663887023926
0.7012223601341248,	0.17333610355854034
0.7009848952293396,	0.17312875390052795
0.7007855772972107,	0.17769023776054382
0.7006129622459412,	0.18349574506282806
0.70046466588974,	0.1893012672662735
0.7003346085548401,	0.19489943981170654
0.7002167105674744,	0.19718018174171448
0.7001127004623413,	0.20132698118686676
0.700017511844635,	0.20630313456058502
0.6999298334121704,	0.2110719531774521
0.6998485922813416,	0.21480406820774078
0.6997717618942261,	0.2177068144083023
0.6997005343437195,	0.22081692516803741
0.6996285915374756,	0.22371967136859894
0.6995623707771301,	0.2255857288837433
0.6994956731796265,	0.22807380557060242
0.6994352340698242,	0.22993987798690796
0.6993722319602966,	0.2320132702589035
0.6993110179901123,	0.23408666253089905
0.6992531418800354,	0.2357453852891922
0.6991936564445496,	0.2396848499774933
0.6991345286369324,	0.24113622307777405
0.6990765333175659,	0.2423802614212036
0.6990196108818054,	0.24341696500778198
0.6989640593528748,	0.24445365369319916
0.698908805847168,	0.24549035727977753
0.6988510489463806,	0.2463197112083435
0.6987959742546082,	0.2469417303800583
0.6987408995628357,	0.24797843396663666
0.6986865997314453,	0.249844491481781
0.6986332535743713,	0.25108852982521057
0.6985791921615601,	0.25233256816864014
0.6985247135162354,	0.2537839412689209
0.6984706521034241,	0.25502797961235046
0.6984175443649292,	0.2564793825149536
0.698364794254303,	0.25917479395866394
0.6983110904693604,	0.25979679822921753
0.698259174823761,	0.2610408365726471
0.6982085108757019,	0.26290690898895264
0.6981552243232727,	0.2645656168460846
0.6981016993522644,	0.26684635877609253
0.6980516314506531,	0.2685050666332245
0.698000967502594,	0.26974910497665405
0.6979480981826782,	0.2707858085632324
0.6978977918624878,	0.27223721146583557
0.6978476047515869,	0.27265188097953796
0.6977972984313965,	0.27389591932296753
0.6977488398551941,	0.2741032540798187
0.6976957321166992,	0.2747252881526947
0.697645366191864,	0.27617666125297546
0.6975967288017273,	0.2784574031829834
0.6975467801094055,	0.27990877628326416
0.6974989771842957,	0.2813601493835449
0.6974487900733948,	0.2817748188972473
0.697400689125061,	0.2828115224838257
0.6973525285720825,	0.28343355655670166
0.6973037719726562,	0.28426289558410645
0.6972561478614807,	0.2852995991706848
0.6972076296806335,	0.2857142984867096
0.6971583962440491,	0.2882023751735687
0.6971121430397034,	0.2896537482738495
0.6970645785331726,	0.2900684177875519
0.6970170140266418,	0.29110512137413025
0.6969694495201111,	0.2919344902038574
0.6969239711761475,	0.2929711937904358
0.6968766450881958,	0.2940078675746918
0.6968297958374023,	0.29462990164756775
0.6967855095863342,	0.2954592704772949
0.6967391967773438,	0.2958739399909973
0.6966930031776428,	0.2971179783344269
0.6966463327407837,	0.29836201667785645
0.6966029405593872,	0.2991913855075836
0.6965572834014893,	0.3004354238510132
0.6965120434761047,	0.30167946219444275
0.6964655518531799,	0.30188679695129395
0.6964208483695984,	0.3027161657810211
0.6963765621185303,	0.3033381700515747
0.6963335871696472,	0.3039602041244507
0.696287989616394,	0.30499687790870667
0.6962442398071289,	0.3072776198387146
0.6962013840675354,	0.30831432342529297
0.6961573362350464,	0.30935102701187134
0.6961143612861633,	0.3101803958415985
0.6960696578025818,	0.31246113777160645
0.6960268616676331,	0.31308314204216003
0.6959847211837769,	0.3143271803855896
0.6959418654441833,	0.3149492144584656
0.6958994269371033,	0.31640058755874634
0.6958569884300232,	0.31681525707244873
0.6958153247833252,	0.3172299265861511
0.6957720518112183,	0.3172299265861511
0.6957290768623352,	0.3180592954158783
0.6956887245178223,	0.31909599900245667
0.6956478357315063,	0.31971800327301025
0.6956055760383606,	0.3209620714187622
0.6955649256706238,	0.3219987452030182
0.6955224275588989,	0.32303544878959656
0.6954835653305054,	0.32386481761932373
0.6954424977302551,	0.3246941864490509
0.6954008340835571,	0.32697489857673645
0.695361852645874,	0.3280116021633148
0.6953185200691223,	0.328840970993042
0.6952793002128601,	0.3290483057498932
0.6952410936355591,	0.33070704340934753
0.6952012181282043,	0.33091437816619873
0.6951609253883362,	0.3315363824367523
0.6951199173927307,	0.3317437171936035
0.69508296251297,	0.3325730860233307
0.6950437426567078,	0.33340245485305786
0.6950036287307739,	0.3348538279533386
0.6949658989906311,	0.335268497467041
0.6949260234832764,	0.335890531539917
0.6948869824409485,	0.3363052010536194
0.6948496103286743,	0.3367198705673218
0.6948102116584778,	0.33775657415390015
0.6947730779647827,	0.3383786082267761
0.6947354078292847,	0.3387932777404785
0.6946978569030762,	0.3392079472541809
0.6946583390235901,	0.3396226465702057
0.6946210265159607,	0.3402446508407593
0.6945841312408447,	0.34148868918418884
0.6945460438728333,	0.3419033885002136
0.6945105791091919,	0.3421107232570648
0.6944730877876282,	0.3425253927707672
0.6944369077682495,	0.3425253927707672
0.6943990588188171,	0.3433547616004944
0.694362223148346,	0.343976765871048
0.6943253874778748,	0.34418413043022156
0.6942901611328125,	0.3456355035305023
0.6942526698112488,	0.3458428382873535
0.694217324256897,	0.3462575078010559
0.6941811442375183,	0.34770888090133667
0.6941466927528381,	0.34895291924476624
0.6941110491752625,	0.3497822880744934
0.694075882434845,	0.3506116569042206
0.6940381526947021,	0.35164836049079895
0.6940032839775085,	0.35247769951820374
0.693967878818512,	0.3530997335910797
0.6939353346824646,	0.3537217378616333
0.6938984394073486,	0.3543437719345093
0.6938632726669312,	0.35475844144821167
0.6938281059265137,	0.35538047552108765
0.6937951445579529,	0.35538047552108765
0.6937609314918518,	0.3566245138645172
0.6937254071235657,	0.3566245138645172
0.6936912536621094,	0.3572465181350708
0.6936576962471008,	0.357453852891922
0.6936253309249878,	0.358075886964798
0.6935901641845703,	0.358075886964798
0.6935563087463379,	0.358075886964798
0.6935239434242249,	0.358075886964798
0.6934896111488342,	0.35869789123535156
0.6934564113616943,	0.35911259055137634
0.6934229731559753,	0.3601492941379547
0.693390429019928,	0.3603566288948059
0.6933582425117493,	0.3607712984085083
