Number of classes: 2
Elapsed time: 0:20:02.576116
Mini-batch size: 400
Number of epochs: 288
Learning rate: 0.01
Subset: large
------------------------------------
Testing accuracy: 0.5706319808959961
Training accuracy: 0.5830247402191162
------------------------------------
cost history,	validation history
0.8091413378715515,	0.0
0.7777807712554932,	0.0006220194627530873
0.756460964679718,	0.0029027576092630625
0.7621362805366516,	0.007671573664993048
0.7469115257263184,	0.016172505915164948
0.7385296821594238,	0.027368858456611633
0.7391549944877625,	0.04001658782362938
0.7254907488822937,	0.055567074567079544
0.7191030979156494,	0.0713248997926712
0.7129750847816467,	0.08749740570783615
0.7153967022895813,	0.10449927300214767
0.7035046219825745,	0.12461123615503311
0.7137274146080017,	0.14493054151535034
0.7038617134094238,	0.16628654301166534
0.7102009654045105,	0.18681319057941437
0.7099890112876892,	0.19738751649856567
0.7071893811225891,	0.20816919207572937
0.6924496293067932,	0.21646277606487274
0.7063238024711609,	0.22392702102661133
0.7053920030593872,	0.22807380557060242
0.7004441022872925,	0.2324279546737671
0.703291118144989,	0.23657473921775818
0.7058355808258057,	0.2425875961780548
0.6996614933013916,	0.2496371567249298
0.7068110704421997,	0.2539913058280945
0.6947539448738098,	0.25979679822921753
0.6902357339859009,	0.2647729516029358
0.7043739557266235,	0.2705784738063812
0.6951999664306641,	0.2716151773929596
0.7034770846366882,	0.27389591932296753
0.696215808391571,	0.27306655049324036
0.6993032693862915,	0.2776280343532562
0.6915042400360107,	0.286128968000412
0.7009174823760986,	0.27016380429267883
0.6981083750724792,	0.2826041877269745
0.6949641704559326,	0.2784574031829834
0.6970477104187012,	0.27970144152641296
0.697295606136322,	0.2852995991706848
0.6939648389816284,	0.28426289558410645
0.7002323269844055,	0.2743105888366699
0.7010366916656494,	0.28094547986984253
0.6918047070503235,	0.2865436375141144
0.7011181712150574,	0.2815674841403961
0.6993176937103271,	0.2917271554470062
0.7074424624443054,	0.2788720726966858
0.6968963146209717,	0.27596932649612427
0.6962966322898865,	0.27617666125297546
0.6954029202461243,	0.2784574031829834
0.6978512406349182,	0.27617666125297546
0.7025790214538574,	0.2741032540798187
0.6905224323272705,	0.26643168926239014
0.7010225057601929,	0.2643582820892334
0.6968527436256409,	0.26891976594924927
0.6949825286865234,	0.2645656168460846
0.6940758228302002,	0.2645656168460846
0.6945080757141113,	0.26580965518951416
0.7032765746116638,	0.26622435450553894
0.7002072334289551,	0.26622435450553894
0.6975229382514954,	0.2672610282897949
