Number of classes: 2
Elapsed time: 0:05:00.308089
One batch.
Number of epochs: 277
Learning rate: 0.15
Subset: large
------------------------------------
Testing accuracy: 0.5542044639587402
Training accuracy: 0.5547805428504944
------------------------------------
cost history,	validation history
5.906795978546143,	0.3236325979232788
5.754184722900391,	0.3116615116596222
5.72756814956665,	0.23942208290100098
5.711452484130859,	0.30712074041366577
5.698703765869141,	0.2606811225414276
5.687265396118164,	0.28544890880584717
5.676425457000732,	0.2681114673614502
5.665897369384766,	0.28090816736221313
5.655576705932617,	0.2790505588054657
5.645416259765625,	0.28689369559288025
5.635385513305664,	0.29308566451072693
5.625467300415039,	0.30134159326553345
5.6156535148620605,	0.30835914611816406
5.605934143066406,	0.3178534507751465
5.596306324005127,	0.326109379529953
5.586761474609375,	0.34014448523521423
5.577282905578613,	0.3529411852359772
5.567876815795898,	0.36284831166267395
5.558530807495117,	0.3729618191719055
5.54924201965332,	0.38844168186187744
5.540015697479248,	0.39793601632118225
5.530841827392578,	0.4057791531085968
5.521709442138672,	0.41465428471565247
5.5126214027404785,	0.42187821865081787
5.503580093383789,	0.425180584192276
5.494579315185547,	0.4272445738315582
5.485622882843018,	0.4324045479297638
5.47668981552124,	0.4383901059627533
5.467794895172119,	0.4445820450782776
5.45893669128418,	0.4507739841938019
5.450105667114258,	0.4542827606201172
5.441307544708252,	0.4588235318660736
5.432540416717529,	0.4623323082923889
5.423794746398926,	0.4648090898990631
5.415079593658447,	0.4683178663253784
5.406389236450195,	0.4734778106212616
5.39772367477417,	0.47657379508018494
5.389084339141846,	0.4794633686542511
5.380465030670166,	0.48255935311317444
5.371872901916504,	0.48359131813049316
5.3632988929748535,	0.48627451062202454
5.354744911193848,	0.48854488134384155
5.346219539642334,	0.4912280738353729
5.33771276473999,	0.49349844455718994
5.32921838760376,	0.49556243419647217
5.320754528045654,	0.4978328049182892
5.3123064041137695,	0.49948400259017944
5.303877830505371,	0.5009288191795349
5.295469284057617,	0.5017544031143188
5.287074089050293,	0.5021671652793884
5.2787017822265625,	0.5031991600990295
5.270349025726318,	0.505469560623169
5.262010097503662,	0.5060887336730957
5.253690242767334,	0.507327139377594
5.245384216308594,	0.5093911290168762
5.23710298538208,	0.5110422968864441
5.228830337524414,	0.5124871134757996
5.220587253570557,	0.5135191082954407
5.2123494148254395,	0.5145511031150818
5.204133987426758,	0.5151702761650085
5.19593620300293,	0.5159958600997925
5.187752723693848,	0.516615092754364
5.179583549499512,	0.5184726715087891
5.171435832977295,	0.519298255443573
5.163296699523926,	0.5197110176086426
5.155181884765625,	0.5203302502632141
5.147079944610596,	0.5213622450828552
5.138988494873047,	0.521981418132782
5.130923748016357,	0.5232198238372803
5.122864723205566,	0.5236325860023499
5.114828109741211,	0.5248709917068481
5.106809616088867,	0.5252838134765625
5.098798751831055,	0.5256965756416321
5.090806007385254,	0.526522159576416
5.082828521728516,	0.5263158082962036
5.07486629486084,	0.526522159576416
5.066915512084961,	0.5269349813461304
5.058987617492676,	0.5279669761657715
5.05106782913208,	0.5285861492156982
5.043169975280762,	0.5298245549201965
5.035282611846924,	0.5302373766899109
5.027413368225098,	0.5308565497398376
5.0195536613464355,	0.5310629606246948
5.011713027954102,	0.531269371509552
5.0038862228393555,	0.5314757227897644
4.996074199676514,	0.5316821336746216
4.988282203674316,	0.5320949554443359
4.980498790740967,	0.533126950263977
4.9727301597595215,	0.5337461233139038
4.96497917175293,	0.5345717072486877
4.957238674163818,	0.5353972911834717
4.949516296386719,	0.5351909399032593
4.941812038421631,	0.5353972911834717
4.934112548828125,	0.5360165238380432
4.926429748535156,	0.5362229347229004
4.918766975402832,	0.53663569688797
4.911111354827881,	0.5368421077728271
4.903472423553467,	0.5368421077728271
4.895852565765381,	0.53663569688797
4.888243675231934,	0.5368421077728271
4.880648612976074,	0.53663569688797
4.87306547164917,	0.53663569688797
4.865500450134277,	0.5368421077728271
4.857948303222656,	0.5370485186576843
4.850409030914307,	0.5372549295425415
4.8428826332092285,	0.5370485186576843
4.835378646850586,	0.5380805134773254
4.827879905700684,	0.5380805134773254
4.820391654968262,	0.5382868647575378
4.812922954559326,	0.5380805134773254
4.80546760559082,	0.5386996865272522
4.798028945922852,	0.5389060974121094
4.7906012535095215,	0.5389060974121094
4.78318452835083,	0.5395252704620361
4.775786399841309,	0.5397316813468933
4.768395900726318,	0.5399380922317505
4.761025428771973,	0.5397316813468933
4.753665447235107,	0.5399380922317505
4.7463226318359375,	0.5399380922317505
4.738990783691406,	0.5401445031166077
4.7316694259643555,	0.5399380922317505
4.724370002746582,	0.5401445031166077
4.717074394226074,	0.5403508543968201
4.7097954750061035,	0.5407636761665344
4.702532768249512,	0.5411764979362488
4.695282459259033,	0.5409700870513916
4.688039779663086,	0.5413828492164612
4.680817604064941,	0.5413828492164612
4.673604965209961,	0.5417956709861755
4.6664042472839355,	0.5420020818710327
4.659221649169922,	0.5424148440361023
4.65205192565918,	0.5426212549209595
4.64489221572876,	0.5428276658058167
4.6377410888671875,	0.5428276658058167
4.630612850189209,	0.5438596606254578
4.623494625091553,	0.5436532497406006
4.616386413574219,	0.5434468388557434
4.60929536819458,	0.5434468388557434
4.602213382720947,	0.5436532497406006
4.595149040222168,	0.5438596606254578
4.588094711303711,	0.5440660715103149
4.581053733825684,	0.5438596606254578
4.5740227699279785,	0.5442724227905273
4.5670061111450195,	0.5442724227905273
4.560001850128174,	0.5442724227905273
4.55301570892334,	0.5442724227905273
4.546034336090088,	0.545098066329956
4.539070129394531,	0.545098066329956
4.532121658325195,	0.5448916554450989
4.525184154510498,	0.5448916554450989
4.518256187438965,	0.5448916554450989
4.511343479156494,	0.545098066329956
4.5044426918029785,	0.5455108284950256
4.497549533843994,	0.5455108284950256
4.490673542022705,	0.5455108284950256
4.4838151931762695,	0.5457172393798828
4.476963520050049,	0.5455108284950256
4.470122337341309,	0.5457172393798828
4.463300704956055,	0.54592365026474
4.456487655639648,	0.5461300015449524
4.449687957763672,	0.5461300015449524
4.442896842956543,	0.5463364124298096
4.436120510101318,	0.5463364124298096
4.429357528686523,	0.5461300015449524
4.422606468200684,	0.5461300015449524
4.41586971282959,	0.5463364124298096
4.409140110015869,	0.5467492341995239
4.4024248123168945,	0.5467492341995239
4.395723342895508,	0.5467492341995239
4.389034748077393,	0.5467492341995239
4.382357120513916,	0.5469556450843811
4.375691890716553,	0.5469556450843811
4.369037628173828,	0.5471619963645935
4.362395763397217,	0.5473684072494507
4.355766296386719,	0.5473684072494507
4.349154472351074,	0.5475748181343079
4.342541694641113,	0.5475748181343079
4.3359527587890625,	0.5473684072494507
4.329373359680176,	0.5473684072494507
4.322801113128662,	0.5471619963645935
4.316246032714844,	0.5473684072494507
4.309699058532715,	0.5469556450843811
4.303166389465332,	0.5471619963645935
4.29664421081543,	0.5479876399040222
4.290135383605957,	0.5481939911842346
4.283639907836914,	0.5484004020690918
4.277153968811035,	0.5484004020690918
4.270678997039795,	0.5484004020690918
4.264216899871826,	0.5484004020690918
4.2577667236328125,	0.5488132238388062
4.251328468322754,	0.5488132238388062
