Number of classes: 7
Elapsed time: 0:05:03.054514
Mini-batch size: 400
Number of epochs: 28
Learning rate: 0.01
Subset: large
------------------------------------
Testing accuracy: 0.0007005254155956209
Training accuracy: 0.0008095148950815201
------------------------------------
cost history,	validation history
0.8942162394523621,	0.0
0.8700172901153564,	0.0
0.8389618992805481,	0.0
0.8380795121192932,	0.0
0.809975266456604,	0.0
0.7982951998710632,	0.0
0.7786346673965454,	0.0
0.7546921968460083,	0.0
0.7407333850860596,	0.0
0.7261788249015808,	0.0
0.699668824672699,	0.0
0.6919406652450562,	0.0
0.6736408472061157,	0.0
0.6663861274719238,	0.0
0.6492578983306885,	0.0
0.6549803018569946,	0.0
0.6313033699989319,	0.0
0.6263253092765808,	0.0
0.60373455286026,	0.0
0.5865291953086853,	0.00012087513459846377
0.5983338952064514,	0.00024175026919692755
0.5834697484970093,	0.0004835005383938551
0.5780697464942932,	0.002296627499163151
0.573602557182312,	0.007131632883101702
0.5671661496162415,	0.01329626515507698
0.55870521068573,	0.02381240203976631
0.5474125146865845,	0.0406140461564064
0.5348020195960999,	0.06430557370185852
0.5342790484428406,	0.08799710124731064
0.521462082862854,	0.11217212677001953
0.5270848274230957,	0.13332527875900269
0.5293444395065308,	0.14710503816604614
0.5080751180648804,	0.16390667855739594
0.5065061450004578,	0.1849389523267746
0.49716779589653015,	0.19908134639263153
0.49536892771720886,	0.21104799211025238
0.49542009830474854,	0.21322374045848846
0.4982530474662781,	0.20730085670948029
0.4960358440876007,	0.2014988511800766
0.48441189527511597,	0.19279584288597107
0.483669251203537,	0.18518070876598358
0.4788306951522827,	0.17696119844913483
0.4722168445587158,	0.1698295623064041
0.4730965793132782,	0.1646319329738617
0.4702208936214447,	0.16124743223190308
0.4659229516983032,	0.1552036702632904
0.4748939871788025,	0.14831379055976868
0.4620097875595093,	0.1439622938632965
0.46421530842781067,	0.1406986564397812
0.44623255729675293,	0.1384020298719406
0.45660802721977234,	0.13380877673625946
0.4624951183795929,	0.13066601753234863
0.454934686422348,	0.12812764942646027
0.451262891292572,	0.12667714059352875
0.4492238163948059,	0.12462226301431656
0.4542101323604584,	0.1201498880982399
0.4422999918460846,	0.11797413229942322
0.46280255913734436,	0.11253475397825241
0.439963161945343,	0.10890849679708481
0.44299277663230896,	0.10443611443042755
0.44837114214897156,	0.1016559898853302
0.44396188855171204,	0.09887585788965225
0.4366569221019745,	0.0962166115641594
0.4371931254863739,	0.09162335097789764
0.4429594576358795,	0.09017284959554672
0.4549725353717804,	0.08582134544849396
0.4406931400299072,	0.08292034268379211
0.4414859414100647,	0.07820621132850647
0.4357406497001648,	0.0756678357720375
0.4372013509273529,	0.07276683300733566
0.4343945384025574,	0.07059107720851898
0.4458850622177124,	0.06672307848930359
0.41632604598999023,	0.0664813220500946
0.4366963505744934,	0.06370119750499725
0.43808192014694214,	0.06116281822323799
0.439084529876709,	0.058503564447164536
0.424591988325119,	0.057053063064813614
0.42467790842056274,	0.05620693787932396
0.42864999175071716,	0.05403118580579758
0.43351832032203674,	0.053305935114622116
0.4306449592113495,	0.049800556153059006
0.41761675477027893,	0.04955880716443062
0.4355333149433136,	0.04569080099463463
0.4275192618370056,	0.04581167548894882
0.4320182204246521,	0.04569080099463463
0.42361438274383545,	0.04544905200600624
0.4368155300617218,	0.04230629652738571
0.43026745319366455,	0.040734920650720596
0.4227803349494934,	0.03795479238033295
0.43826720118522644,	0.03432853892445564
0.4154491424560547,	0.03493291512131691
0.4175063669681549,	0.03311978653073311
0.4088970422744751,	0.03384503722190857
0.4214763641357422,	0.03432853892445564
0.41664591431617737,	0.034691162407398224
0.4211801290512085,	0.0332406610250473
0.42926743626594543,	0.03239453583955765
0.41531896591186523,	0.032031912356615067
0.43058645725250244,	0.030218783766031265
0.4172936975955963,	0.029614407569169998
0.42255502939224243,	0.029493533074855804
0.4158203601837158,	0.028889156877994537
0.41032761335372925,	0.029614407569169998
0.41839855909347534,	0.028768282383680344
0.4152407944202423,	0.028163906186819077
0.4116102457046509,	0.02792215719819069
0.411138117313385,	0.02792215719819069
0.4167080819606781,	0.026713404804468155
0.4148668646812439,	0.025262903422117233
0.4168822467327118,	0.024537652730941772
0.4233406186103821,	0.023933276534080505
0.41193661093711853,	0.02332890033721924
0.41492587327957153,	0.023570651188492775
0.4156758189201355,	0.022966274991631508
0.43483397364616394,	0.019460896030068398
0.41470250487327576,	0.018252145498991013
0.420257568359375,	0.018373019993305206
0.42508482933044434,	0.017889520153403282
0.4264620542526245,	0.016680769622325897
0.4234820008277893,	0.01535114273428917
0.4180977940559387,	0.014746766537427902
0.41435107588768005,	0.013900640420615673
0.42618826031684875,	0.01293363980948925
0.41740933060646057,	0.011483137495815754
0.41021841764450073,	0.011120512150228024
0.4070192575454712,	0.011483137495815754
0.4273936152458191,	0.010516136884689331
0.4191339910030365,	0.00906563550233841
0.4161250591278076,	0.008823884651064873
0.4103798568248749,	0.00979088619351387
0.41140109300613403,	0.008823884651064873
0.41971156001091003,	0.00821950938552618
0.40712758898735046,	0.00821950938552618
0.41687312722206116,	0.00785688403993845
0.41881752014160156,	0.007373383268713951
0.40665292739868164,	0.0076151336543262005
0.4216291904449463,	0.00688988296315074
0.407589316368103,	0.007131632883101702
0.4098335802555084,	0.00664813257753849
0.4140271544456482,	0.0060437568463385105
0.4152592718601227,	0.006406382191926241
0.4238482713699341,	0.0059228818863630295
0.4170263707637787,	0.005802006460726261
0.40828046202659607,	0.005439381115138531
0.41933536529541016,	0.004835005383938551
0.41420069336891174,	0.0044723800383508205
0.4247944951057434,	0.0043515050783753395
0.4126822352409363,	0.0043515050783753395
0.4112139046192169,	0.0043515050783753395
