Number of classes: 2
Elapsed time: 0:10:00.349065
One batch.
Number of epochs: 864
Learning rate: 0.08
Subset: large
------------------------------------
Testing accuracy: 0.5535861253738403
Training accuracy: 0.5519101023674011
------------------------------------
cost history,	validation history
0.948864758014679,	0.394014447927475
0.7366141080856323,	0.26852425932884216
0.6969025135040283,	0.2561403512954712
0.6946600675582886,	0.2705882489681244
0.6943022608757019,	0.2765737771987915
0.6940106749534607,	0.27863776683807373
0.6937284469604492,	0.2780185639858246
0.6934525370597839,	0.2813209593296051
0.6931838989257812,	0.28317853808403015
0.6929208040237427,	0.28544890880584717
0.6926642060279846,	0.2897832691669464
0.6924141645431519,	0.29514962434768677
0.6921688318252563,	0.30113518238067627
0.6919309496879578,	0.3054695427417755
0.691697359085083,	0.3106295168399811
0.6914692521095276,	0.31558308005332947
0.6912457346916199,	0.3201238512992859
0.6910281181335449,	0.326109379529953
0.6908152103424072,	0.3320949375629425
0.690608561038971,	0.3366357088088989
0.6904034614562988,	0.33993807435035706
0.690204918384552,	0.3453044295310974
0.6900092363357544,	0.34984520077705383
0.6898193955421448,	0.35335397720336914
0.6896350383758545,	0.3587203323841095
0.6894524097442627,	0.36429309844970703
0.6892713308334351,	0.3708978295326233
0.6890984177589417,	0.37605780363082886
0.6889273524284363,	0.38369452953338623
0.6887590289115906,	0.3876160979270935
0.6885966658592224,	0.39071208238601685
0.6884360909461975,	0.39422085881233215
0.6882792115211487,	0.39669764041900635
0.6881250739097595,	0.4020639955997467
0.6879729628562927,	0.40660473704338074
0.6878259778022766,	0.4119710922241211
0.6876814961433411,	0.4163054823875427
0.6875378489494324,	0.4194014370441437
0.6873992681503296,	0.42187821865081787
0.687263011932373,	0.42662540078163147
0.6871281266212463,	0.4309597611427307
0.6869978904724121,	0.4346749186515808
0.6868686079978943,	0.43653249740600586
0.6867427229881287,	0.44024768471717834
0.686618447303772,	0.4445820450782776
0.6864960789680481,	0.44747161865234375
0.6863776445388794,	0.449535608291626
0.6862594485282898,	0.45345717668533325
0.6861463785171509,	0.4553147554397583
0.6860327124595642,	0.45820432901382446
0.6859227418899536,	0.45964911580085754
0.6858122944831848,	0.46191951632499695
0.6857064962387085,	0.46460267901420593
0.6856011152267456,	0.4662538766860962
0.6854984760284424,	0.46687307953834534
0.685397744178772,	0.4689370393753052
0.6852989792823792,	0.47162023186683655
0.6852012872695923,	0.47306501865386963
