Number of classes: 5
Elapsed time: 0:10:20.288820
Mini-batch size: 400
Number of epochs: 25
Learning rate: 0.01
Subset: small
------------------------------------
Testing accuracy: 0.11764705926179886
Training accuracy: 0.1927374303340912
------------------------------------
cost history,	validation history
7.433674335479736,	0.25806450843811035
4.663872241973877,	0.0
3.5415966510772705,	0.0
3.8524858951568604,	0.25806450843811035
3.8865432739257812,	0.25806450843811035
4.086930274963379,	0.20967741310596466
4.028204441070557,	0.0
3.881079912185669,	0.0
3.4567880630493164,	0.0
3.366509437561035,	0.0
3.0622169971466064,	0.0
2.9061717987060547,	0.0
2.640044689178467,	0.0
2.3850438594818115,	0.0
2.331967830657959,	0.04838709533214569
2.0884604454040527,	0.04838709533214569
2.151095151901245,	0.0
2.021031379699707,	0.0
2.0147345066070557,	0.0
1.8979344367980957,	0.0
1.775059461593628,	0.0
1.8160685300827026,	0.0
1.6442861557006836,	0.0
1.4407927989959717,	0.0
1.4815280437469482,	0.0
1.4383927583694458,	0.016129031777381897
1.3398927450180054,	0.032258063554763794
1.4034132957458496,	0.04838709533214569
1.2534821033477783,	0.06451612710952759
1.1693623065948486,	0.04838709533214569
1.2874045372009277,	0.032258063554763794
1.0908046960830688,	0.0
1.167545199394226,	0.0
1.0296317338943481,	0.0
1.0784103870391846,	0.0
0.940966010093689,	0.0
0.8961590528488159,	0.0
0.8910010457038879,	0.0
0.8630701899528503,	0.016129031777381897
0.8837658166885376,	0.032258063554763794
0.8263218998908997,	0.04838709533214569
0.7732768058776855,	0.032258063554763794
0.801014244556427,	0.0
0.7452943921089172,	0.0
0.751899778842926,	0.0
0.7049639225006104,	0.016129031777381897
0.7086676955223083,	0.016129031777381897
0.636181116104126,	0.016129031777381897
0.6889359354972839,	0.032258063554763794
0.6870592832565308,	0.04838709533214569
