Number of classes: 4
Elapsed time: 0:21:03.718791
Mini-batch size: 400
Number of epochs: 19
Learning rate: 0.01
Subset: large
------------------------------------
Testing accuracy: 0.20702283084392548
Training accuracy: 0.19339649379253387
------------------------------------
cost history,	validation history
1.0846501588821411,	0.16233918070793152
2.0112016201019287,	0.35345029830932617
1.6219077110290527,	0.0002339181228308007
1.5709724426269531,	0.18994152545928955
1.6555169820785522,	0.1665497124195099
1.600416898727417,	0.14222222566604614
1.3825421333312988,	0.280935674905777
1.349006175994873,	0.25543859601020813
1.412117600440979,	0.2823391854763031
1.5363696813583374,	0.2846783697605133
1.1946896314620972,	0.28608188033103943
1.2050633430480957,	0.29894736409187317
1.1018747091293335,	0.035321637988090515
0.9865400791168213,	0.016374269500374794
1.019938349723816,	0.0952046811580658
0.8840523362159729,	0.11157894879579544
0.7986050248146057,	0.1305263191461563
0.8187779188156128,	0.13520467281341553
0.7320497035980225,	0.2914619743824005
0.6887069940567017,	0.2991812825202942
0.7344510555267334,	0.2923976480960846
0.7787350416183472,	0.03017543815076351
0.8209471702575684,	0.07578947395086288
0.8090632557868958,	0.27929824590682983
0.7098324298858643,	0.27695906162261963
0.6698019504547119,	0.2832748591899872
0.6588336229324341,	0.2879532277584076
0.6587108373641968,	0.24795322120189667
0.6753581166267395,	0.24210526049137115
0.713273286819458,	0.2617543935775757
0.6842871308326721,	0.3061988353729248
0.7057110667228699,	0.35321637988090515
0.6953993439674377,	0.35321637988090515
0.6797664165496826,	0.35321637988090515
0.6468709707260132,	0.35321637988090515
0.636684238910675,	0.2835087776184082
0.6452040672302246,	0.2832748591899872
0.6164113283157349,	0.28280702233314514
0.6208177804946899,	0.2849122881889343
0.6416836380958557,	0.2837426960468292
0.6417241096496582,	0.2835087776184082
0.6253200769424438,	0.27719298005104065
0.6128886342048645,	0.2767251431941986
0.6256253719329834,	0.2633918225765228
0.6102667450904846,	0.2893567383289337
0.6111377477645874,	0.35345029830932617
0.6066834926605225,	0.2877193093299866
0.5959339737892151,	0.27742689847946167
0.5928590893745422,	0.1723976582288742
0.6344056129455566,	0.2584795355796814
0.6156741976737976,	0.28397661447525024
0.6018032431602478,	0.35321637988090515
0.5898181796073914,	0.35345029830932617
0.6189174652099609,	0.35345029830932617
0.6211556792259216,	0.297076016664505
0.5905298590660095,	0.27602338790893555
0.6148638725280762,	0.27134501934051514
0.6052538156509399,	0.2767251431941986
0.5975998640060425,	0.2832748591899872
0.5714624524116516,	0.35345029830932617
0.572257399559021,	0.35345029830932617
0.593101441860199,	0.35345029830932617
0.6047403812408447,	0.2832748591899872
0.5738370418548584,	0.16233918070793152
0.6106967926025391,	0.26900583505630493
0.5776286721229553,	0.2835087776184082
0.5767013430595398,	0.35321637988090515
0.5701280832290649,	0.35321637988090515
0.5703110098838806,	0.35321637988090515
