Number of classes: 7
Elapsed time: 0:05:00.140385
Mini-batch size: 500
Number of epochs: 156
Learning rate: 0.08
Subset: medium
------------------------------------
Testing accuracy: 0.3928571343421936
Training accuracy: 0.401106059551239
------------------------------------
cost history,	validation history
0.7636173367500305,	0.18483412265777588
0.6067713499069214,	0.370853066444397
0.5162465572357178,	0.379146933555603
0.46303123235702515,	0.2594786584377289
0.42883026599884033,	0.1623222678899765
0.40678176283836365,	0.1007108986377716
0.39100295305252075,	0.06635071337223053
0.3789430558681488,	0.056872036308050156
0.3699356019496918,	0.05213269963860512
0.36435040831565857,	0.04739336669445038
0.3596011996269226,	0.04265403002500534
0.3555692732334137,	0.029620852321386337
0.35196545720100403,	0.02725118398666382
0.3495427966117859,	0.02606634981930256
0.3468935191631317,	0.02606634981930256
0.34590035676956177,	0.02606634981930256
0.3438204824924469,	0.02606634981930256
0.34207215905189514,	0.02606634981930256
0.3401488959789276,	0.02606634981930256
0.33940452337265015,	0.02606634981930256
0.33793938159942627,	0.02606634981930256
0.3367866575717926,	0.02725118398666382
0.3325563669204712,	0.029620852321386337
0.3351270854473114,	0.02606634981930256
0.33346161246299744,	0.028436018154025078
0.3324126601219177,	0.031990520656108856
0.3316868245601654,	0.035545025020837784
0.331547349691391,	0.0379146933555603
0.3289794921875,	0.04146919399499893
0.32811370491981506,	0.04383886232972145
0.3276979923248291,	0.04739336669445038
0.3293916583061218,	0.04502369835972786
0.3281347453594208,	0.04739336669445038
0.329985648393631,	0.04739336669445038
0.32603079080581665,	0.04739336669445038
0.31278038024902344,	0.08649288862943649
0.3261837363243103,	0.08293838798999786
0.32684096693992615,	0.0746445506811142
0.32607030868530273,	0.06753554195165634
0.32558727264404297,	0.06635071337223053
0.3249538540840149,	0.06872037798166275
0.32566696405410767,	0.06398104131221771
0.32616251707077026,	0.0627962052822113
0.32694271206855774,	0.0627962052822113
0.3259834051132202,	0.06042654067277908
0.3241993188858032,	0.059241704642772675
0.3268330991268158,	0.05094786733388901
0.31845682859420776,	0.05213269963860512
0.32293209433555603,	0.058056872338056564
0.321134477853775,	0.06872037798166275
0.3203326165676117,	0.0746445506811142
0.32004135847091675,	0.08649288862943649
0.3199777901172638,	0.09478673338890076
0.3193977475166321,	0.10189573466777802
0.3184664845466614,	0.10545023530721664
0.3170025944709778,	0.11018957197666168
0.3171357214450836,	0.12322274595499039
0.31938785314559937,	0.13151659071445465
0.3197242021560669,	0.13033175468444824
0.32958483695983887,	0.12203791737556458
0.3194013833999634,	0.11966824531555176
0.31869441270828247,	0.11966824531555176
0.31769832968711853,	0.12203791737556458
0.3174862861633301,	0.12322274595499039
0.3167697787284851,	0.1244075819849968
0.3157913088798523,	0.12914691865444183
0.31610220670700073,	0.13151659071445465
0.3159630000591278,	0.13270142674446106
0.31531843543052673,	0.13507108390331268
0.31669989228248596,	0.13033175468444824
0.3159312903881073,	0.14099526405334473
0.3289557099342346,	0.09478673338890076
0.31695014238357544,	0.10426539927721024
0.3172076940536499,	0.1125592440366745
0.31663012504577637,	0.11611374467611313
0.31581807136535645,	0.12085308134555817
0.3153042793273926,	0.13033175468444824
0.3146158456802368,	0.13151659071445465
0.31461337208747864,	0.13151659071445465
