Number of classes: 3
Elapsed time: 0:05:00.028988
One batch.
Number of epochs: 10897
Learning rate: 0.01
Subset: small
------------------------------------
Testing accuracy: 0.292553186416626
Training accuracy: 0.30693817138671875
------------------------------------
cost history,	validation history
0.8078770637512207,	0.0416666679084301
0.7850366234779358,	0.0714285746216774
0.7648249864578247,	0.1011904776096344
0.7470124363899231,	0.130952388048172
0.7313722372055054,	0.1488095223903656
0.717681884765625,	0.1607142835855484
0.7057314515113831,	0.190476194024086
0.6953243613243103,	0.2083333283662796
0.6862764358520508,	0.2023809552192688
0.6784210801124573,	0.2083333283662796
0.6716077923774719,	0.2083333283662796
0.6657019853591919,	0.184523805975914
0.6605839133262634,	0.1607142835855484
0.6561484932899475,	0.1488095223903656
0.65230393409729,	0.1071428582072258
0.6489699482917786,	0.095238097012043
0.6460766196250916,	0.0833333358168602
0.6435638070106506,	0.0773809552192688
0.6413792371749878,	0.065476194024086
0.6394780278205872,	0.0595238097012043
0.6378207206726074,	0.0595238097012043
0.6363741755485535,	0.0595238097012043
0.6351097822189331,	0.0416666679084301
0.6340025067329407,	0.02380952425301075
0.6330311894416809,	0.02380952425301075
0.6321771740913391,	0.02380952425301075
0.6314248442649841,	0.02380952425301075
0.6307605504989624,	0.011904762126505375
0.6301718950271606,	0.011904762126505375
0.6296501159667969,	0.011904762126505375
0.629184901714325,	0.0059523810632526875
0.6287696957588196,	0.0
0.6283974051475525,	0.0
0.6280627250671387,	0.0
0.6277605295181274,	0.0
0.6274866461753845,	0.0
0.6272374987602234,	0.0
0.6270099878311157,	0.0
0.6268011927604675,	0.0
0.6266083717346191,	0.0
0.6264300346374512,	0.0
0.6262637972831726,	0.0
0.6261089444160461,	0.0
0.625963032245636,	0.0
0.6258262991905212,	0.0
0.6256961226463318,	0.0
0.6255727410316467,	0.0
0.625454843044281,	0.0
0.6253420114517212,	0.0
0.6252336502075195,	0.0
0.6251288652420044,	0.0
0.625027596950531,	0.0
0.6249293088912964,	0.0
0.6248335242271423,	0.0
0.6247401237487793,	0.0
0.6246486902236938,	0.0
0.6245594620704651,	0.0
0.6244713068008423,	0.0
0.6243851780891418,	0.0
0.6243003010749817,	0.0
0.6242163181304932,	0.0
0.6241338849067688,	0.0
0.6240518093109131,	0.0
0.6239708065986633,	0.0
0.6238909959793091,	0.0
0.623811662197113,	0.0
0.6237330436706543,	0.0
0.6236549615859985,	0.0
0.6235777735710144,	0.0
0.6235005855560303,	0.0
0.623424232006073,	0.0
0.6233481168746948,	0.0
0.6232726573944092,	0.0
0.6231973767280579,	0.0
0.6231229901313782,	0.0
0.6230486631393433,	0.0
0.6229745149612427,	0.0
0.6229009032249451,	0.0
0.62282794713974,	0.0
0.6227546334266663,	0.0
0.6226822137832642,	0.0
0.6226097345352173,	0.0
0.6225377321243286,	0.0
0.6224658489227295,	0.0
0.6223945617675781,	0.0
0.6223235130310059,	0.0
0.6222522258758545,	0.0
0.6221815347671509,	0.0
0.6221112608909607,	0.0
0.6220411062240601,	0.0
0.6219709515571594,	0.0
0.6219013333320618,	0.0
0.6218321323394775,	0.0
0.6217629313468933,	0.0
0.621694028377533,	0.0
0.6216253042221069,	0.0
0.6215570569038391,	0.0
0.6214887499809265,	0.0
0.6214208602905273,	0.0
0.6213528513908386,	0.0
0.6212854385375977,	0.0
0.6212184429168701,	0.0
0.6211512684822083,	0.0
0.6210843324661255,	0.0
0.6210176348686218,	0.0
0.6209512948989868,	0.0
0.6208852529525757,	0.0
0.6208189725875854,	0.0
0.6207536458969116,	0.0
0.6206883192062378,	0.0
0.6206227540969849,	0.0
0.6205576658248901,	0.0
0.6204931139945984,	0.0
0.6204288005828857,	0.0
0.6203640103340149,	0.0
0.6202995777130127,	0.0
0.6202356815338135,	0.0
0.6201719641685486,	0.0
0.6201086640357971,	0.0
0.620045006275177,	0.0
0.6199821829795837,	0.0
0.6199188828468323,	0.0
0.6198562979698181,	0.0
0.6197937726974487,	0.0
0.619731605052948,	0.0
0.6196691393852234,	0.0
0.6196075677871704,	0.0
0.6195456385612488,	0.0
0.6194841861724854,	0.0
0.6194229125976562,	0.0
0.6193618774414062,	0.0
0.619300901889801,	0.0
0.6192399859428406,	0.0
0.6191797256469727,	0.0
0.6191194653511047,	0.0
0.6190592646598816,	0.0
0.6189994812011719,	0.0
0.6189398169517517,	0.0
0.6188800930976868,	0.0
0.6188204288482666,	0.0
0.6187616586685181,	0.0
0.6187025308609009,	0.0
0.6186438798904419,	0.0
0.6185853481292725,	0.0
0.6185269355773926,	0.0
0.6184685230255127,	0.0
0.6184107065200806,	0.0
0.6183526515960693,	0.0
0.6182950139045715,	0.0
0.6182376742362976,	0.0
0.6181801557540894,	0.0
0.6181233525276184,	0.0
0.6180666089057922,	0.0
0.6180093884468079,	0.0
0.6179529428482056,	0.0
0.6178967952728271,	0.0
0.6178405284881592,	0.0
0.6177841424942017,	0.0
0.6177284121513367,	0.0
0.6176729202270508,	0.0
0.6176174283027649,	0.0
0.617561936378479,	0.0
0.617506742477417,	0.0
0.6174516677856445,	0.0
0.6173967123031616,	0.0
0.6173425912857056,	0.0
0.6172881126403809,	0.0
0.617233395576477,	0.0
0.6171795725822449,	0.0
0.6171255707740784,	0.0
0.6170713901519775,	0.0
0.617017924785614,	0.0
0.6169648766517639,	0.0
0.6169115304946899,	0.0
0.6168583631515503,	0.0
0.6168054342269897,	0.0
0.6167524456977844,	0.0
0.6166998744010925,	0.0
0.616647481918335,	0.0
0.6165950298309326,	0.0
0.616543173789978,	0.0
0.6164910793304443,	0.0
0.6164389252662659,	0.0
0.6163874268531799,	0.0
0.616335928440094,	0.0
0.6162843108177185,	0.0
0.6162334680557251,	0.0
0.6161824464797974,	0.0
0.6161319613456726,	0.0
0.6160807609558105,	0.0
0.6160299777984619,	0.0
0.6159796714782715,	0.0
0.6159294843673706,	0.0
0.6158795952796936,	0.0
0.6158296465873718,	0.0
0.6157797574996948,	0.0
0.6157301664352417,	0.0
0.6156808137893677,	0.0
0.6156314015388489,	0.0
0.6155821681022644,	0.0
0.6155330538749695,	0.0
0.6154839396476746,	0.0
0.6154354810714722,	0.0
0.6153867244720459,	0.0
0.6153385043144226,	0.0
0.6152898073196411,	0.0
0.6152417659759521,	0.0
0.6151939034461975,	0.0
0.6151459217071533,	0.0
0.6150984168052673,	0.0
0.6150507926940918,	0.0
0.6150029897689819,	0.0
0.614955723285675,	0.0
0.6149085760116577,	0.0
0.614861249923706,	0.0
0.614814817905426,	0.0
0.6147679090499878,	0.0
0.6147210001945496,	0.0
0.6146748065948486,	0.0
0.6146284341812134,	0.0
0.6145819425582886,	0.0
0.6145360469818115,	0.0
0.6144898533821106,	0.0
0.6144442558288574,	0.0
0.6143985390663147,	0.0
0.6143529415130615,	0.0
0.6143079400062561,	0.0
0.6142624020576477,	0.0
0.6142171621322632,	0.0
0.6141721606254578,	0.0
0.6141271591186523,	0.0
0.6140827536582947,	0.0
0.614037811756134,	0.0
0.613993227481842,	0.0
0.613949179649353,	0.0
0.6139050126075745,	0.0
0.6138606667518616,	0.0
0.6138168573379517,	0.0
0.6137731075286865,	0.0
0.6137290000915527,	0.0
0.6136856079101562,	0.0
0.6136419773101807,	0.0
0.6135989427566528,	0.0
0.6135556697845459,	0.0
0.6135125756263733,	0.0
0.6134694814682007,	0.0
0.6134266257286072,	0.0
0.6133838295936584,	0.0
0.6133413910865784,	0.0
0.613298773765564,	0.0
0.613256573677063,	0.0
0.6132142543792725,	0.0
0.6131720542907715,	0.0
0.6131298542022705,	0.0
0.6130881905555725,	0.0
0.6130464673042297,	0.0
0.6130049228668213,	0.0
0.6129631400108337,	0.0
0.6129217743873596,	0.0
0.6128800511360168,	0.0
0.6128394603729248,	0.0
0.6127983331680298,	0.0
0.6127573251724243,	0.0
0.6127166748046875,	0.0
0.6126756072044373,	0.0
0.6126350164413452,	0.0
0.612594485282898,	0.0
0.6125541925430298,	0.0
0.6125138998031616,	0.0
0.6124738454818726,	0.0
0.6124337315559387,	0.0
0.6123937368392944,	0.0
0.6123540997505188,	0.0
0.6123140454292297,	0.0
0.6122746467590332,	0.0
0.6122350096702576,	0.0
0.6121957302093506,	0.0
0.612156093120575,	0.0
0.6121171116828918,	0.0
0.6120780110359192,	0.0
0.6120387315750122,	0.0
0.6120001077651978,	0.0
0.6119614243507385,	0.0
0.6119228005409241,	0.0
0.6118842959403992,	0.0
0.6118459105491638,	0.0
0.6118075251579285,	0.0
