Number of classes: 2
Elapsed time: 0:05:00.002975
One batch.
Number of epochs: 15857
Learning rate: 0.01
Subset: small
------------------------------------
Testing accuracy: 0.6746031641960144
Training accuracy: 0.6784946322441101
------------------------------------
cost history,	validation history
0.9059271216392517,	0.5595238208770752
0.876564621925354,	0.5476190447807312
0.8503513336181641,	0.5357142686843872
0.8272024393081665,	0.511904776096344
0.8069785237312317,	0.5
0.7894936800003052,	0.5
0.7745246887207031,	0.4761904776096344
0.7618262767791748,	0.4523809552192688
0.751140296459198,	0.4404761791229248
0.7422125935554504,	0.4285714328289032
0.7347995638847351,	0.4166666567325592
0.7286757230758667,	0.4047619104385376
0.7236379981040955,	0.4047619104385376
0.7195069789886475,	0.3571428656578064
0.7161281108856201,	0.3214285671710968
0.71336829662323,	0.3214285671710968
0.7111158967018127,	0.3214285671710968
0.7092780470848083,	0.3095238208770752
0.7077767848968506,	0.2976190447807312
0.7065489888191223,	0.2976190447807312
0.7055419087409973,	0.3095238208770752
0.7047135829925537,	0.2857142984867096
0.7040289640426636,	0.2857142984867096
0.7034608125686646,	0.2857142984867096
0.7029857635498047,	0.261904776096344
0.7025855183601379,	0.25
0.7022457718849182,	0.25
0.70195472240448,	0.25
0.7017025351524353,	0.2380952388048172
0.7014814019203186,	0.2380952388048172
0.7012856006622314,	0.2380952388048172
0.7011100649833679,	0.2261904776096344
0.7009506821632385,	0.2261904776096344
0.7008045315742493,	0.2261904776096344
0.7006685137748718,	0.2261904776096344
0.7005413770675659,	0.2261904776096344
0.7004207968711853,	0.2380952388048172
0.7003058791160583,	0.2380952388048172
0.7001954317092896,	0.2380952388048172
0.7000887393951416,	0.2380952388048172
0.6999849081039429,	0.2380952388048172
0.6998834609985352,	0.2380952388048172
0.6997838020324707,	0.2380952388048172
0.6996858716011047,	0.2380952388048172
0.6995893120765686,	0.2380952388048172
0.6994941830635071,	0.2380952388048172
0.6993996500968933,	0.2380952388048172
0.6993062496185303,	0.25
0.6992130875587463,	0.25
0.6991207599639893,	0.25
0.6990289092063904,	0.25
0.698937714099884,	0.25
0.6988466382026672,	0.25
0.6987562775611877,	0.25
0.6986661553382874,	0.25
0.6985762119293213,	0.25
0.6984865665435791,	0.25
0.6983973979949951,	0.25
0.6983084678649902,	0.25
0.698219895362854,	0.25
0.6981313824653625,	0.2380952388048172
0.6980428099632263,	0.2380952388048172
0.6979551315307617,	0.2380952388048172
0.6978674530982971,	0.2380952388048172
0.6977794766426086,	0.2380952388048172
0.6976925134658813,	0.2380952388048172
0.6976056098937988,	0.2380952388048172
0.6975185871124268,	0.2380952388048172
0.6974320411682129,	0.2380952388048172
0.6973453760147095,	0.2380952388048172
0.6972593069076538,	0.2380952388048172
0.6971733570098877,	0.2380952388048172
0.6970873475074768,	0.2380952388048172
0.6970019340515137,	0.2380952388048172
0.6969164609909058,	0.2380952388048172
0.6968317031860352,	0.2380952388048172
0.6967467069625854,	0.2380952388048172
0.6966619491577148,	0.2380952388048172
0.6965774297714233,	0.2380952388048172
0.6964930891990662,	0.2380952388048172
0.6964089274406433,	0.2380952388048172
0.6963253021240234,	0.2380952388048172
0.6962414383888245,	0.2380952388048172
0.6961578130722046,	0.2380952388048172
0.6960748434066772,	0.2261904776096344
0.6959917545318604,	0.2261904776096344
0.6959086656570435,	0.2261904776096344
0.6958261728286743,	0.2261904776096344
0.6957437992095947,	0.2261904776096344
0.6956611275672913,	0.2261904776096344
0.6955792307853699,	0.2261904776096344
0.695497453212738,	0.2261904776096344
0.6954156160354614,	0.2261904776096344
0.6953340768814087,	0.2261904776096344
0.6952527165412903,	0.2261904776096344
0.6951718926429749,	0.2261904776096344
0.6950905323028564,	0.2261904776096344
0.6950099468231201,	0.2261904776096344
0.6949294805526733,	0.2261904776096344
0.6948493719100952,	0.2261904776096344
0.6947690844535828,	0.2261904776096344
0.6946893334388733,	0.2261904776096344
0.6946094036102295,	0.2261904776096344
0.69452965259552,	0.2261904776096344
0.6944501996040344,	0.2261904776096344
0.6943708658218384,	0.2261904776096344
0.694291889667511,	0.2261904776096344
0.6942131519317627,	0.2261904776096344
0.6941342353820801,	0.2261904776096344
0.6940560936927795,	0.2261904776096344
0.6939777135848999,	0.2261904776096344
0.6938996315002441,	0.2261904776096344
0.6938214898109436,	0.2261904776096344
0.6937441825866699,	0.2261904776096344
0.6936662197113037,	0.2261904776096344
0.6935887932777405,	0.2261904776096344
0.6935117840766907,	0.2261904776096344
0.6934345960617065,	0.2261904776096344
0.6933577060699463,	0.2380952388048172
0.6932812333106995,	0.2380952388048172
0.6932045817375183,	0.2380952388048172
0.6931285858154297,	0.2380952388048172
0.6930522322654724,	0.2380952388048172
0.6929760575294495,	0.2380952388048172
0.6929002404212952,	0.2380952388048172
0.6928244829177856,	0.2380952388048172
0.6927494406700134,	0.2380952388048172
0.6926738023757935,	0.2380952388048172
0.6925985813140869,	0.2380952388048172
0.6925237774848938,	0.2380952388048172
0.6924490928649902,	0.2380952388048172
0.6923742294311523,	0.2380952388048172
0.6922999620437622,	0.2380952388048172
0.6922256946563721,	0.2380952388048172
0.6921514272689819,	0.2380952388048172
0.69207763671875,	0.2380952388048172
0.6920039057731628,	0.2380952388048172
0.6919301748275757,	0.2380952388048172
0.691856861114502,	0.2380952388048172
0.6917834877967834,	0.2380952388048172
0.691710352897644,	0.2380952388048172
0.6916372776031494,	0.2380952388048172
0.6915644407272339,	0.2380952388048172
0.6914917230606079,	0.2380952388048172
0.6914194822311401,	0.2380952388048172
